t(s), y(m), v(m/s), a(m/s^2)
16.508999999997194,-431.2386367730585,-32.4361398100256,-0.06917881063551157
16.608999999997316,-434.4825965699577,-32.4429539151874,-0.06713396563347196
16.708999999997438,-437.7272275554584,-32.449566603343676,-0.06514956386605775
16.80899999999756,-440.9725098900076,-32.455983828146394,-0.06322381870169203
16.908999999997683,-444.21842432048686,-32.46221136726433,-0.06135499631959718
17.008999999997805,-447.46495216287747,-32.46825482758525,-0.05954141414867031
17.108999999997927,-450.71207528543795,-32.474119650263816,-0.057781439352661224
17.20899999999805,-453.9597760923808,-32.47981111562053,-0.05607348736005058
17.30899999999817,-457.2080375080289,-32.48533434789571,-0.05441602043742044
17.408999999998294,-460.45684296144253,-32.49069431986314,-0.0528075463049511
17.508999999998416,-463.7061763714997,-32.495895857307225,-0.05124661679287179
17.608999999998538,-466.9560221324171,-32.50094364336778,-0.0497318265376272
17.70899999999866,-470.20636509970075,-32.50584222275649,-0.04826181171656785
17.808999999998782,-473.4571905765099,-32.510596005848676,-0.04683524882004342
17.908999999998905,-476.7084843004259,-32.51520927265402,-0.04545085345983502
18.008999999999027,-479.9602324306094,-32.5196861766702,-0.044107379212704245
18.10899999999915,-483.21242153534126,-32.52403074862227,-0.042803616498266805
18.20899999999927,-486.46503857992735,-32.528246900091865,-0.04153839148988858
18.308999999999394,-489.7180709149648,-32.532338427038646,-0.04031056505792385
18.408999999999516,-492.97150626495227,-32.53630901321834,-0.03911903174402198
18.508999999999638,-496.2253327172371,-32.54016223349896,-0.03796271876594126
18.60899999999976,-499.47953871129147,-32.543901557079714,-0.03684058505160337
18.708999999999882,-502.73411302830317,-32.54753035061426,-0.03575162030181467
18.809000000000005,-505.989044781075,-32.55105188124198,-0.03469484408063117
18.909000000000127,-509.244323404222,-32.554469319529304,-0.03366930493269038
19.00900000000025,-512.4999386446608,-32.55778574232448,-0.03267407952651702
19.10900000000037,-515.7558805523768,-32.56100413552771,-0.03170827182323421
19.209000000000493,-519.0121394714656,-32.56412739677946,-0.030771012269843467
19.309000000000616,-522.2687060314405,-32.56715833806936,-0.029861457016297166
19.409000000000738,-525.5255711387963,-32.57009968826785,-0.028978787155791608
19.50900000000086,-528.782725968819,-32.57295409558314,-0.028122207987454573
19.609000000000982,-532.0401619576451,-32.575724129945506,-0.027290948300839446
19.709000000001105,-535.2978707945491,-32.57841228532112,-0.02648425968157042
19.809000000001227,-538.5558444144585,-32.58102098195733,-0.025701415837552588
19.90900000000135,-541.8140749906962,-32.5835525685619,-0.024941711945013267
20.00900000000147,-545.0725549279333,-32.58600932441746,-0.02420446401396603
20.109000000001593,-548.3312768553498,-32.58839346143368,-0.023489008272377987
20.209000000001716,-551.5902336199971,-32.59070712613886,-0.022794700568514514
20.309000000001838,-554.8494182803606,-32.59295240161235,-0.02212091579103337
20.40900000000196,-558.1088241001089,-32.59513130936011,-0.02146704730615845
20.509000000002082,-561.3684445420288,-32.59724581113478,-0.02083250641148915
20.609000000002204,-564.6282732621381,-32.59929781070181,-0.020216721805999427
20.709000000002327,-567.8883041039767,-32.601289155553616,-0.019619139075638614
20.80900000000245,-571.148531093062,-32.603221638572876,-0.01903922019419646
20.90900000000257,-574.4089484315103,-32.60509699964674,-0.018476443038890622
21.009000000002693,-577.6695504928159,-32.606916927233314,-0.01793030092028225
21.109000000002816,-580.9303318167872,-32.6086830598819,-0.017400302126070244
21.209000000002938,-584.1912871046275,-32.61039698770814,-0.01688596947840182
21.30900000000306,-587.4524112141677,-32.612060253825696,-0.016386839904262374
21.409000000003182,-590.713699155236,-32.61367435573568,-0.01590246401850237
21.509000000003304,-593.9751460851636,-32.61524074667475,-0.015432405719291609
21.609000000003427,-597.2367473044244,-32.61676083692353,-0.014976241795478629
21.70900000000355,-600.498498252406,-32.61823599507651,-0.014533561545512441
21.80900000000367,-603.7603945033019,-32.61966754927409,-0.014103966407695623
21.909000000003793,-607.0224317621271,-32.62105678839829,-0.013687069601393986
22.009000000003915,-610.2846058608517,-32.622404963233414,-0.013282495778710768
22.109000000004038,-613.5469127546479,-32.62371328759189,-0.012889880686639543
22.20900000000416,-616.8093485182477,-32.62498293940743,-0.012508870839022634
22.309000000004282,-620.0719093424103,-32.62621506179533,-0.012139123198362967
22.409000000004404,-623.3345915304915,-32.6274107640817,-0.011780304866951141
22.509000000004526,-626.5973914951147,-32.62857112280228,-0.011432092787154957
22.60900000000465,-629.860305754943,-32.62969718267168,-0.011094173450533873
22.70900000000477,-633.1233309315438,-32.63078995752397,-0.010766242615593669
22.809000000004893,-636.3864637463457,-32.631850431225445,-0.01044800503387755
22.909000000005015,-639.6497010176898,-32.63287955856048,-0.010139174184113031
