t(s), y1(m), y2(m), v1(m/s), v2(m/s), a1(m/s^2), a2(m/s^2)
3.4019000000027546,-50.793063054979605,-56.71232657998245,-28.26057630026505,-33.33959999997503,-6.974012110094597,-9.8
3.5019000000029656,-53.653909323733565,-60.09533557997989,-28.95449861261276,-34.319599999973455,-6.904619184930574,-9.8
3.6019000000031767,-56.583801669261,-63.576344579977146,-29.641516248236375,-35.29959999997188,-6.835916734343707,-9.8
3.7019000000033877,-59.58205306820132,-67.15535357997429,-30.32169791015892,-36.27959999997031,-6.767897887962988,-9.8
3.8019000000035987,-62.64798333322422,-70.83236257997122,-30.995111617793732,-37.259599999968735,-6.700555843779066,-9.8
3.9019000000038098,-65.78091904501034,-74.60737157996803,-31.661824713746146,-38.23959999996716,-6.633883867464061,-9.8
4.001900000004012,-68.98019348490746,-78.48038057996465,-32.321903870548006,-39.21959999996559,-6.567875291698117,-9.8
4.102000000003779,-72.24844417479274,-82.45540963796113,-32.976065343174106,-40.20057999996401,-6.502458490267493,-9.8
4.202100000003545,-75.58184945627183,-86.52863479395747,-33.62371129148569,-41.18155999996244,-6.43769324778391,-9.8
4.302200000003312,-78.97976038203758,-90.70005604795361,-34.264906610862376,-42.16253999996086,-6.37357307464451,-9.8
4.402300000003079,-82.44153446837451,-94.96967339994961,-34.89971555031806,-43.14351999995929,-6.310091545883654,-9.8
4.5024000000028455,-85.9665356307791,-99.33748684994546,-35.52820171893929,-44.12449999995771,-6.247242300529076,-9.8
4.602500000002612,-89.55413412022324,-103.80349639794115,-36.150428092258565,-45.10547999995614,-6.185019040964554,-9.8
4.702600000002379,-93.2037064600531,-108.36770204393667,-36.76645701856491,-46.08645999995456,-6.123415532298832,-9.8
4.802700000002146,-96.91463538351364,-113.03010378793205,-37.3763502251509,-47.06743999995299,-6.062425601740928,-9.8
4.902800000001912,-100.68630977189946,-117.79070162992727,-37.98016882449838,-48.04841999995141,-6.002043137981543,-9.8
5.002900000001679,-104.51812459331838,-122.64949556992231,-38.57797332040142,-49.02939999994984,-5.942262090580765,-9.8
5.103000000001446,-108.40948084206538,-127.60648560791722,-39.169823614029596,-50.01037999994826,-5.883076469361734,-9.8
5.203100000001212,-112.35978547860313,-132.66167174391194,-39.75577900992978,-50.99135999994669,-5.82448034381046,-9.8
